k,combo,f23,f24,off24
4,split_ball_no_+bayesian+id_frequency__+split_ball_rat,523.5740441585923,800.4294410259849,-0.015940744133201873
3,bayesian+id_frequency__+split_ball_rat,528.2311330052747,800.1940324133927,-0.015919814647672448
4,interact+bayesian+split_ball_rat+split_ball_rat,518.9255915219793,799.9159265185796,-0.0158494430938681
5,interact+bayesian+split_ball_id_+split_ball_rat+split_ball_rat,523.0571353177949,799.8830456119155,-0.01592212601265064
4,split_ball_id_+id_frequency__+split_ball_rat+split_ball_rat,529.2342611691536,799.8259507476236,-0.015350395221096907
4,id_frequency__+split_ball_rat+split_ball_id_+split_ball_rat,525.670326769212,799.7985998716816,-0.015431482210327696
2,split_ball_id_+split_ball_no_,528.747216803338,799.4310391630677,-0.015635828751355912
3,split_ball_rat+split_ball_id_+split_ball_rat,511.83360338538097,799.4159635049903,-0.015292425798267645
5,split_ball_no_+interact+id_frequency__+mtend+split_ball_rat,524.6802763898884,799.3205947306569,-0.015783762538174623
5,split_ball_id_+split_ball_no_+id_frequency__+split_ball_rat+split_ball_rat,523.4280765579302,799.3129684579326,-0.01541690299787235
4,id_frequency__+split_ball_id_+split_ball_rat+split_ball_rat,524.9267344565212,799.1733311791261,-0.015505404824902702
5,split_ball_id_+bayesian+split_ball_rat+mtend+split_ball_rat,525.6424968153151,798.9450531577958,-0.015966733793774973
5,split_ball_no_+id_frequency__+split_ball_rat+split_ball_id_+split_ball_rat,520.0583157479289,798.7803724509467,-0.015540824265341396
5,interact+bayesian+id_frequency__+split_ball_rat+split_ball_rat,526.1543014259739,798.5146642614183,-0.01584304745775228
5,split_ball_id_+bayesian+mtend+split_ball_rat+split_ball_rat,525.0457370463923,798.3963633059976,-0.01602573659163789
5,split_ball_id_+split_ball_no_+interact+split_ball_id_+split_ball_rat,528.6411592765438,798.2049157689409,-0.01578824567296866
5,interact+bayesian+id_frequency__+split_ball_rat+split_ball_rat,525.4565376233811,797.8835983874277,-0.015901757630030128
4,split_ball_id_+split_ball_no_+interact+split_ball_rat,525.9040846339658,797.5545567082132,-0.015681184481035004
4,split_ball_id_+split_ball_no_+interact+split_ball_rat,524.9790960517475,796.6951342772921,-0.015754280861752956
5,bayesian+split_ball_rat+mtend+split_ball_id_+split_ball_rat,521.6733694615283,796.5266675687976,-0.016083425521441708
4,split_ball_no_+interact+split_ball_rat+split_ball_id_,521.3219851118778,796.5203987553515,-0.015834691526922434
3,id_frequency__+split_ball_rat+split_ball_rat,517.3787809048647,796.3320287005748,-0.01525955984572211
5,split_ball_id_+split_ball_no_+interact+id_frequency__+split_ball_rat,531.5774059991396,796.0047089068056,-0.015767241960735978
5,bayesian+mtend+split_ball_id_+split_ball_rat+split_ball_rat,521.0841867138938,795.9880393874963,-0.016142450534186753
2,split_ball_no_+split_ball_id_,519.6309923014896,795.961240006271,-0.015937578596477153
3,split_ball_id_+interact+split_ball_rat,531.2377674318469,795.9266986428015,-0.015673989831595042
4,split_ball_no_+interact+split_ball_id_+split_ball_rat,520.4088552186903,795.6758594886426,-0.01590782268163829
4,bayesian+split_ball_rat+mtend+split_ball_rat,516.3764033337181,795.4677292267176,-0.016126406854061553
