axis,axis_title,lam,fit,eval,scope,n_bins,bss,delta,bss_self,best_solo,best_solo_name,vs_solo,w
a12_role,A12 투수 역할(전시즌),0.75,2022,2024,R,4,888.8840368414308,4.960548780197314,933.2497720121014,842.5847631795435,cw_v17_base,46.29927366188724,
a12_role,A12 투수 역할(전시즌),1.0,2022,2024,R,4,890.1314658758208,6.207977814587366,937.2504366046752,842.5847631795435,cw_v17_base,47.54670269627729,
a13_tens,A13 이닝 x 점수차,0.0,2022,2024,R,9,883.9234880612335,0.0,883.9234880612335,842.5847631795435,cw_v17_base,41.33872488168993,
a13_tens,A13 이닝 x 점수차,0.25,2022,2024,R,9,887.1730893412865,3.2496012800530707,906.3474119695103,842.5847631795435,cw_v17_base,44.588326161743,
a13_tens,A13 이닝 x 점수차,0.5,2022,2024,R,9,889.7757275603601,5.852239499126654,923.1999727707719,842.5847631795435,cw_v17_base,47.19096438081658,
a13_tens,A13 이닝 x 점수차,0.75,2022,2024,R,9,891.7314027185208,7.80791465728737,934.4811704649403,842.5847631795435,cw_v17_base,49.1466395389773,
a13_tens,A13 이닝 x 점수차,1.0,2022,2024,R,9,893.0401148157241,9.116626754490653,940.1910050520712,842.5847631795435,cw_v17_base,50.45535163618058,
(전역),(전역 가중 하나),0.0,2024,2022,all,1,2381.3123683692593,0.0,2503.8430373913843,2353.097854115227,sj_stdmlp,28.21451425403211,0.911 0.000 0.089 0.000
a1_count,A1 볼카운트,0.0,2024,2022,all,12,2381.3123683692593,0.0,2381.3123683692593,2353.097854115227,sj_stdmlp,28.21451425403211,
a1_count,A1 볼카운트,0.25,2024,2022,all,12,2390.3689639071304,9.05659553787109,2434.9629724538136,2353.097854115227,sj_stdmlp,37.2711097919032,
a1_count,A1 볼카운트,0.5,2024,2022,all,12,2397.8827444943063,16.570376125047005,2474.6035751681884,2353.097854115227,sj_stdmlp,44.784890379079116,
a1_count,A1 볼카운트,0.75,2024,2022,all,12,2403.8537101307434,22.54134176148409,2500.2341765122947,2353.097854115227,sj_stdmlp,50.7558560155162,
a1_count,A1 볼카운트,1.0,2024,2022,all,12,2408.2818608164634,26.969492447204175,2511.8547764861332,2353.097854115227,sj_stdmlp,55.184006701236285,
a1b_phase,A1b 카운트 국면,0.0,2024,2022,all,7,2381.3123683692593,0.0,2381.3123683692593,2353.097854115227,sj_stdmlp,28.21451425403211,
a1b_phase,A1b 카운트 국면,0.25,2024,2022,all,7,2389.01438091228,7.702012543020828,2435.2419919098643,2353.097854115227,sj_stdmlp,35.91652679705294,
a1b_phase,A1b 카운트 국면,0.5,2024,2022,all,7,2395.4521714148027,14.139803045543431,2474.491011612956,2353.097854115227,sj_stdmlp,42.35431729957554,
a1b_phase,A1b 카운트 국면,0.75,2024,2022,all,7,2400.6257398767716,19.31337150751233,2499.059427478534,2353.097854115227,sj_stdmlp,47.52788576154444,
a1b_phase,A1b 카운트 국면,1.0,2024,2022,all,7,2404.535086298143,23.222717928883867,2508.9472395066205,2353.097854115227,sj_stdmlp,51.43723218291598,
a2_li,A2 경기 중요도 li,0.0,2024,2022,all,6,2381.3123683692593,0.0,2381.3123683692593,2353.097854115227,sj_stdmlp,28.21451425403211,
a2_li,A2 경기 중요도 li,0.25,2024,2022,all,6,2388.691406766219,7.379038396959913,2436.7982664604383,2353.097854115227,sj_stdmlp,35.593552650992024,
a2_li,A2 경기 중요도 li,0.5,2024,2022,all,6,2395.2892120969404,13.976843727681171,2477.0701015028094,2353.097854115227,sj_stdmlp,42.19135798171328,
a2_li,A2 경기 중요도 li,0.75,2024,2022,all,6,2401.105784361435,19.793415992175596,2502.1278734963958,2353.097854115227,sj_stdmlp,48.00793024620771,
a2_li,A2 경기 중요도 li,1.0,2024,2022,all,6,2406.141123559702,24.828755190442735,2511.971582441197,2353.097854115227,sj_stdmlp,53.043269444474845,
a3_load,A3 전시즌 경기당 대비 등판 투구수,0.0,2024,2022,all,8,2381.3123683692593,0.0,2381.3123683692593,2353.097854115227,sj_stdmlp,28.21451425403211,
