model,eval,fit,axis,axis_title,bin,n_eval,shift_xfer,logit_xfer,bias_fit,bias_eval,c,b
ye_hand,2024,2022,a12_role,A12 투수 역할(전시즌),스윙(30-70),31678,6.108266913900114,6.323734143472955,0.015385639496894254,0.011192612420463377,-0.015385639496894254,0.5298112782042729
ye_hand,2024,2022,a12_role,A12 투수 역할(전시즌),선발(>=70),61741,-4.332089836074826,-4.1687115652502404,-0.0023312878641540413,0.007239119808278405,0.0023312878641540413,1.0084410690967347
ye_hand,2024,2022,a12_role,A12 투수 역할(전시즌),전시즌없음,50115,9.781201468601743,2.0297829273001335,0.011524102147399962,0.010491548445761556,-0.011524102147399962,0.8747437127570054
ye_hand,2024,2022,a13_tens,A13 이닝 x 점수차,초반|0-1점,50063,7.221837332475414,-1.682756512308096,0.006140140905924629,0.009630769426933528,-0.006140140905924629,0.8660083172352657
ye_hand,2024,2022,a13_tens,A13 이닝 x 점수차,초반|2-3점,17952,1.4255181885619856,-0.5288723451570286,0.006536319617769792,0.006660694214686624,-0.006536319617769792,0.7658598464895663
ye_hand,2024,2022,a13_tens,A13 이닝 x 점수차,초반|4점+,7110,0.20016219056952303,-2.159934518835803,-0.00757491861712789,-0.004825303337948061,0.00757491861712789,0.797400917143341
ye_hand,2024,2022,a13_tens,A13 이닝 x 점수차,중반|0-1점,27628,5.236219253920539,3.257024038797716,0.008247473688699936,0.010540929165407775,-0.008247473688699936,0.8768678942135122
ye_hand,2024,2022,a13_tens,A13 이닝 x 점수차,중반|2-3점,24982,-3.026361535615283,-7.02490754549647,-0.0020406328458573153,0.015557462728665539,0.0020406328458573153,0.8605104344261013
ye_hand,2024,2022,a13_tens,A13 이닝 x 점수차,중반|4점+,21855,4.278423876345368,-14.503736691119963,0.01328306534385737,0.010757124604387325,-0.01328306534385737,0.5296826174803922
ye_hand,2024,2022,a13_tens,A13 이닝 x 점수차,후반|0-1점,22754,0.9887937481581552,-1.693638370936006,0.0028459905552612463,0.005686945455292802,-0.0028459905552612463,0.7245972429461698
ye_hand,2024,2022,a13_tens,A13 이닝 x 점수차,후반|2-3점,21063,9.632800635484966,8.365243600770713,0.010155535216368305,0.017653322165782914,-0.010155535216368305,1.0777970573208655
ye_hand,2024,2022,a13_tens,A13 이닝 x 점수차,후반|4점+,30090,0.09414698676751149,-4.798545736454721,0.01526814140807703,0.007691297005891329,-0.01526814140807703,0.6685705482262256
sj_cb_ft_fonly,2022,2024,a1_count,A1 볼카운트,0-0,56002,-1.0015285464773858,-1.1184303607394428,0.001846702281689372,-0.0017036304008266612,-0.001846702281689372,0.9906455398124293
sj_cb_ft_fonly,2022,2024,a1_count,A1 볼카운트,0-1,27455,1.8477202768983956,1.762960927806581,-0.009014108727002479,-0.00653233913132345,0.009014108727002479,1.0199533721455902
sj_cb_ft_fonly,2022,2024,a1_count,A1 볼카운트,0-2,13808,-0.7337380116272847,2.395872827223004,-0.0023196321597930836,0.005054383977914856,0.0023196321597930836,0.7076113558709642
sj_cb_ft_fonly,2022,2024,a1_count,A1 볼카운트,1-0,22089,0.04809869129701981,0.06348689361094041,0.004423541874767678,0.002345301652165066,-0.004423541874767678,1.0555564140707567
sj_cb_ft_fonly,2022,2024,a1_count,A1 볼카운트,1-1,22133,-4.197628612393827,-5.601791876221388,0.0061136001177659605,-0.0053583295744416,-0.0061136001177659605,1.181549732861514
sj_cb_ft_fonly,2022,2024,a1_count,A1 볼카운트,1-2,21152,1.1781629616678255,0.8089533734610628,-0.007216694190021189,-0.0057020243606494825,0.007216694190021189,1.014826754386468
sj_cb_ft_fonly,2022,2024,a1_count,A1 볼카운트,2-0,7519,-0.02177542200820476,-0.3207396751781571,0.006529233090597164,0.0031442963759811815,-0.006529233090597164,0.9755532931150185
sj_cb_ft_fonly,2022,2024,a1_count,A1 볼카운트,2-1,11379,-0.2568944640473351,0.49011223304542595,0.007003674725533093,0.002627419960513744,-0.007003674725533093,1.07227479171764
sj_cb_ft_fonly,2022,2024,a1_count,A1 볼카운트,2-2,17854,-0.8103070320703519,-0.7948674464196216,-0.0065083266612005475,-0.0013625217724162475,0.0065083266612005475,1.0000951357505463
sj_cb_ft_fonly,2022,2024,a1_count,A1 볼카운트,3-0,2406,-3.722239613023079,-15.681720187278964,-0.022074202973152768,0.007974459800492384,0.022074202973152768,1.6104532529931639
sj_cb_ft_fonly,2022,2024,a1_count,A1 볼카운트,3-1,4847,0.37064113047189745,-1.7871467636818448,0.0025606835483170665,0.009380971711126729,-0.0025606835483170665,1.321037157788616
sj_cb_ft_fonly,2022,2024,a1_count,A1 볼카운트,3-2,10380,0.9360785630124053,1.1917200401833357,0.004510624293184107,0.007678721719625192,-0.004510624293184107,0.9211331377635733
sj_cb_ft_fonly,2022,2024,a1b_phase,A1b 카운트 국면,초구 0-0,56002,-1.0015285464773858,-1.1184303607394428,0.001846702281689372,-0.0017036304008266612,-0.001846702281689372,0.9906455398124293
sj_cb_ft_fonly,2022,2024,a1b_phase,A1b 카운트 국면,투수우위 0-1,27455,1.8477202768983956,1.762960927806581,-0.009014108727002479,-0.00653233913132345,0.009014108727002479,1.0199533721455902
sj_cb_ft_fonly,2022,2024,a1b_phase,A1b 카운트 국면,평행 1-1,22133,-4.197628612393827,-5.601791876221388,0.0061136001177659605,-0.0053583295744416,-0.0061136001177659605,1.181549732861514
sj_cb_ft_fonly,2022,2024,a1b_phase,A1b 카운트 국면,타자우위 1-0/2-0/2-1,40987,-0.16233754241341594,0.8192139620463206,0.005529037798872649,0.002570198950310021,-0.005529037798872649,1.046259880152735
sj_cb_ft_fonly,2022,2024,a1b_phase,A1b 카운트 국면,2스트라이크,52814,-1.5752726693385508,0.7962398373953075,-0.005689709946141097,-0.001422818741889098,0.005689709946141097,0.9385937833041533
sj_cb_ft_fonly,2022,2024,a1b_phase,A1b 카운트 국면,3볼,7253,-1.8730594920638937,-12.980576591339483,-0.005903594929987821,0.008914396823909543,0.005903594929987821,1.416233529465345
sj_cb_ft_fonly,2022,2024,a1b_phase,A1b 카운트 국면,풀카운트,10380,0.9360785630124053,1.1917200401833357,0.004510624293184107,0.007678721719625192,-0.004510624293184107,0.9211331377635733
sj_cb_ft_fonly,2022,2024,a2_li,A2 경기 중요도 li,li<0.10,20377,-1.9091414555597848,-8.628304719776674,-0.0029941355135948977,0.006991228366857172,0.0029941355135948977,1.1583247292302334
sj_cb_ft_fonly,2022,2024,a2_li,A2 경기 중요도 li,0.10-0.35,24902,0.14788358997825835,0.20921713433259959,-0.000880116412106613,-0.0022704318272064317,0.000880116412106613,1.0086420905590607
sj_cb_ft_fonly,2022,2024,a2_li,A2 경기 중요도 li,0.35-0.70,48047,-3.1761322315210236,-4.6818645028433155,0.004532909124596474,-0.0016894827271941582,-0.004532909124596474,1.0562968476224226
sj_cb_ft_fonly,2022,2024,a2_li,A2 경기 중요도 li,0.70-1.20,58855,0.2849731664719893,-0.0035801421468142523,-0.0037955828758277077,-0.002243839353204824,0.0037955828758277077,0.9525838645954452
sj_cb_ft_fonly,2022,2024,a2_li,A2 경기 중요도 li,1.20-2.00,41808,0.04437894924279157,0.5969354142683158,-0.00012236400869009012,-0.0024143776630046743,0.00012236400869009012,1.0450261934200178
sj_cb_ft_fonly,2022,2024,a2_li,A2 경기 중요도 li,li>=2.00,23035,0.002635233285293046,-0.305150425909148,0.0007378815622021695,0.00041099778241671103,-0.0007378815622021695,1.1103503161547785
sj_cb_ft_fonly,2022,2024,a3_load,A3 전시즌 경기당 대비 등판 투구수,<0.25,43866,0.15311962221815145,-0.15602268745619083,-0.0035774617121575036,-0.0020534113473390514,0.0035774617121575036,0.9379271128609089
sj_cb_ft_fonly,2022,2024,a3_load,A3 전시즌 경기당 대비 등판 투구수,0.25-0.50,40366,-0.0008827678191881927,-0.06451028734254743,6.072187230310444e-06,-0.0009739305469779191,-6.072187230310444e-06,0.9830123242864932
sj_cb_ft_fonly,2022,2024,a3_load,A3 전시즌 경기당 대비 등판 투구수,0.50-0.75,34107,-1.0854878032755297,-2.410095643977523,0.0019785741329105266,-0.0033740946915100656,-0.0019785741329105266,0.9041126626610989
sj_cb_ft_fonly,2022,2024,a3_load,A3 전시즌 경기당 대비 등판 투구수,0.75-1.00,25764,-0.2512232656265272,0.6650670371127658,0.0004614369138429275,-0.005501574056285707,-0.0004614369138429275,1.0711121209799797
sj_cb_ft_fonly,2022,2024,a3_load,A3 전시즌 경기당 대비 등판 투구수,1.00-1.25,11734,-2.537018464085055,-2.1883752926214144,0.01000352895510559,-0.0008612156529162474,-0.01000352895510559,1.150662017793333
sj_cb_ft_fonly,2022,2024,a3_load,A3 전시즌 경기당 대비 등판 투구수,1.25-1.50,5170,-0.664328791387049,-1.800024169980967,-0.005587696157868471,0.003444273877390658,0.005587696157868471,1.143086845459819
sj_cb_ft_fonly,2022,2024,a3_load,A3 전시즌 경기당 대비 등판 투구수,>=1.50,8731,-0.10712467237034015,-4.405138579849309,-0.005840505942111995,-0.002350391676724739,0.005840505942111995,1.3635243276053068
sj_cb_ft_fonly,2022,2024,a3_load,A3 전시즌 경기당 대비 등판 투구수,전시즌없음,47286,-0.33212018102042196,-12.721989112880905,-0.0004707653390714217,0.003811795466584278,0.0004707653390714217,1.1745708495950458
sj_cb_ft_fonly,2022,2024,a3b_gp,A3b 등판 내 투구수,1-10,63628,-0.20012440000796747,-0.01284011369410475,0.0011881915878163007,-0.00012396201405912022,-0.0011881915878163007,0.9725250305920919
sj_cb_ft_fonly,2022,2024,a3b_gp,A3b 등판 내 투구수,11-20,41971,0.2640093364846001,0.6563136478777603,-0.0006689769161876136,-0.002885150671675718,0.0006689769161876136,1.0421752791035095
sj_cb_ft_fonly,2022,2024,a3b_gp,A3b 등판 내 투구수,21-35,31720,-0.24531203288099587,-3.107313156759065,-0.0031409273677271976,-0.0009025476165402946,0.0031409273677271976,1.1087265367299273
sj_cb_ft_fonly,2022,2024,a3b_gp,A3b 등판 내 투구수,36-60,36939,-0.6390324171020543,-1.1761921437734735,-0.0023547965283395866,0.0008154694922286598,0.0023547965283395866,1.044688178599376
sj_cb_ft_fonly,2022,2024,a3b_gp,A3b 등판 내 투구수,61-80,25270,0.07715891144479235,-0.007533471491191709,-0.0004020766772281914,-0.0022610329278595076,0.0004020766772281914,0.9861584027979405
sj_cb_ft_fonly,2022,2024,a3b_gp,A3b 등판 내 투구수,81+,17496,-1.3927164007056507,-1.99183225616115,0.004902933085482619,-0.0019526830870628675,-0.004902933085482619,1.1379073221392155
sj_cb_ft_fonly,2022,2024,a4_prevp,A4 전시즌 투구수,없음,47286,-0.33212018102042196,-12.721989112880905,-0.0004707653390714217,0.003811795466584278,0.0004707653390714217,1.1745708495950458
sj_cb_ft_fonly,2022,2024,a4_prevp,A4 전시즌 투구수,1-200,12427,0.9674168025108654,1.4718424318445575,0.011166524405362477,0.007474401068588099,-0.011166524405362477,0.9160364994134051
sj_cb_ft_fonly,2022,2024,a4_prevp,A4 전시즌 투구수,201-600,23871,0.3214503490762022,1.1470424863112394,0.001038998145888148,0.00403528665779973,-0.001038998145888148,0.9057665526830427
sj_cb_ft_fonly,2022,2024,a4_prevp,A4 전시즌 투구수,601-1200,50346,1.5775800182082431,1.4738200337060023,-0.004296986795234048,-0.004126631089027666,0.004296986795234048,1.0253712595602782
sj_cb_ft_fonly,2022,2024,a4_prevp,A4 전시즌 투구수,1201-2000,31403,-0.15295213360922721,0.6686627881238203,0.0013255732222446914,-0.00033393709994988807,-0.0013255732222446914,1.0438585210762152
sj_cb_ft_fonly,2022,2024,a4_prevp,A4 전시즌 투구수,2001-2600,25524,-0.5479776158228618,0.5413307308850102,0.001814310142545017,-0.002302783090219529,-0.001814310142545017,0.9498865284885494
