axis,axis_title,lam,fit,eval,scope,n_bins,bss,delta,bss_self,w
a8_hand,A8 손 매치업,0.25,2024,2022,all,4,2380.407642570681,0.1517419727538254,2432.9658899986175,
a8_hand,A8 손 매치업,0.5,2024,2022,all,4,2380.131354626147,-0.12454597178020776,2471.086315302329,
a8_hand,A8 손 매치업,0.75,2024,2022,all,4,2379.427036764392,-0.8288638335352516,2494.6171765090953,
a8_hand,A8 손 매치업,1.0,2024,2022,all,4,2378.294688985405,-1.96121161252222,2503.5584736188275,
a9_batn,A9 타자 누적 이력,0.0,2024,2022,all,5,2380.2559005979274,0.0,2380.2559005979274,
a9_batn,A9 타자 누적 이력,0.25,2024,2022,all,5,2383.4408203076805,3.1849197097531032,2432.263206398333,
a9_batn,A9 타자 누적 이력,0.5,2024,2022,all,5,2385.9837433096163,5.727842711688936,2470.107661833465,
a9_batn,A9 타자 누적 이력,0.75,2024,2022,all,5,2387.8846696036794,7.628769005752019,2493.7892669031903,
a9_batn,A9 타자 누적 이력,1.0,2024,2022,all,5,2389.143599189847,8.887698591919616,2503.3080216076087,
a10_base,A10 주자 상황,0.0,2024,2022,all,8,2380.2559005979274,0.0,2380.2559005979274,
a10_base,A10 주자 상황,0.25,2024,2022,all,8,2381.5265966906195,1.2706960926921056,2432.9621766331243,
a10_base,A10 주자 상황,0.5,2024,2022,all,8,2382.175540772091,1.91964017416376,2471.477642900077,
a10_base,A10 주자 상황,0.75,2024,2022,all,8,2382.20273284242,1.9468322444927253,2495.802299398653,
a10_base,A10 주자 상황,1.0,2024,2022,all,8,2381.6081729015173,1.3522723035898707,2505.936146128962,
a11_typemo,A11 game_type x 월블록,0.0,2024,2022,all,6,2380.2559005979274,0.0,2380.2559005979274,
a11_typemo,A11 game_type x 월블록,0.25,2024,2022,all,6,2391.7037394259323,11.447838828004933,2431.898727266313,
a11_typemo,A11 game_type x 월블록,0.5,2024,2022,all,6,2400.385389589865,20.129488991937706,2472.405336086192,
a11_typemo,A11 game_type x 월블록,0.75,2024,2022,all,6,2406.300851089682,26.044950491754662,2501.7757270575758,
a11_typemo,A11 game_type x 월블록,1.0,2024,2022,all,6,2409.450123925505,29.194223327577674,2520.009900180431,
a12_role,A12 투수 역할(전시즌),0.0,2024,2022,all,4,2380.2559005979274,0.0,2380.2559005979274,
a12_role,A12 투수 역할(전시즌),0.25,2024,2022,all,4,2383.7494531892544,3.4935525913269885,2432.5876889363494,
a12_role,A12 투수 역할(전시즌),0.5,2024,2022,all,4,2386.5398367429734,6.283936145046027,2470.3365581376647,
a12_role,A12 투수 역할(전시즌),0.75,2024,2022,all,4,2388.6270512590736,8.371150661146203,2493.50250820185,
a12_role,A12 투수 역할(전시즌),1.0,2024,2022,all,4,2390.011096737532,9.755196139604777,2502.085539128918,
a13_tens,A13 이닝 x 점수차,0.0,2024,2022,all,9,2380.2559005979274,0.0,2380.2559005979274,
a13_tens,A13 이닝 x 점수차,0.25,2024,2022,all,9,2381.193258523473,0.9373579255457116,2431.667403574744,
a13_tens,A13 이닝 x 점수차,0.5,2024,2022,all,9,2381.2902768708623,1.0343762729348782,2469.7453867780773,
a13_tens,A13 이닝 x 점수차,0.75,2024,2022,all,9,2380.546955640106,0.2910550421784137,2494.4898502079036,
a13_tens,A13 이닝 x 점수차,1.0,2024,2022,all,9,2378.9632948312046,-1.2926057667227724,2505.9007938642576,
(전역),(전역 가중 하나),0.0,2024,2022,R,1,692.6784390040575,0.0,756.820124496127,0.836 0.000 0.059 0.104
a1_count,A1 볼카운트,0.0,2024,2022,R,12,692.6784390040575,0.0,692.6784390040575,
a1_count,A1 볼카운트,0.25,2024,2022,R,12,695.7068814051448,3.028442401087318,722.5251395852173,
a1_count,A1 볼카운트,0.5,2024,2022,R,12,697.4829622523604,4.804523248302871,744.3590158677794,
a1_count,A1 볼카운트,0.75,2024,2022,R,12,698.0066815456487,5.32824254159118,758.1800678517325,
a1_count,A1 볼카운트,1.0,2024,2022,R,12,697.278039284932,4.599600280874483,763.988295537088,
a1b_phase,A1b 카운트 국면,0.0,2024,2022,R,7,692.6784390040575,0.0,692.6784390040575,
a1b_phase,A1b 카운트 국면,0.25,2024,2022,R,7,695.927646400496,3.2492073964384645,721.1702058859681,
a1b_phase,A1b 카운트 국면,0.5,2024,2022,R,7,697.9755635954543,5.297124591396823,741.9242719942099,
a1b_phase,A1b 카운트 국면,0.75,2024,2022,R,7,698.8221905889436,6.143751584886104,754.9406373287715,
a1b_phase,A1b 카운트 국면,1.0,2024,2022,R,7,698.4675273810193,5.789088376961786,760.2193018896752,
a2_li,A2 경기 중요도 li,0.0,2024,2022,R,6,692.6784390040575,0.0,692.6784390040575,
a2_li,A2 경기 중요도 li,0.25,2024,2022,R,6,693.2849994474077,0.6065604433501903,721.9490879173396,
a2_li,A2 경기 중요도 li,0.5,2024,2022,R,6,692.6745408338153,-0.0038981702422233866,743.0589409230693,
a2_li,A2 경기 중요도 li,0.75,2024,2022,R,6,690.8470631633801,-1.831375840677424,756.0079980212131,
a2_li,A2 경기 중요도 li,1.0,2024,2022,R,6,687.8025664359689,-4.875872568088653,760.7962592119488,
a3_load,A3 전시즌 경기당 대비 등판 투구수,0.0,2024,2022,R,8,692.6784390040575,0.0,692.6784390040575,
a3_load,A3 전시즌 경기당 대비 등판 투구수,0.25,2024,2022,R,8,696.4939058678788,3.815466863821257,721.0654700987695,
a3_load,A3 전시즌 경기당 대비 등판 투구수,0.5,2024,2022,R,8,699.1769845944185,6.4985455903610045,741.884780566937,
